LCN2	rgb(0,0,0)
XCL1	rgb(255,0,255)
SIGLEC1	rgb(0,0,0)
APOBEC3B	rgb(0,0,0)
CAMP	rgb(0,0,0)
SPX	rgb(0,0,0)
IDO1	rgb(0,0,0)
SERPINE2	rgb(0,0,0)
CD160	rgb(0,0,0)
IFI44	rgb(0,0,0)
