"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","CD8A (pp) CLEC4C","false","pp","CD8A (pp) CLEC4C",,,,,,,"0.602","0.602"
"pp","CD8A (pp) TNFRSF9","false","pp","CD8A (pp) TNFRSF9",,,,,,,"0.838","0.837"
"pp","CD8A (pp) CD200","false","pp","CD8A (pp) CD200",,,,,,,"0.508","0.508"
"pp","CD8A (pp) ITGB3","false","pp","CD8A (pp) ITGB3","0.062",,,,,,"0.404","0.391"
"pp","RPL31 (pp) DOCK4","false","pp","RPL31 (pp) DOCK4","0.653",,,"0.769",,,"0.94","0.322"
"pp","RPL31 (pp) RPL35A","false","pp","RPL31 (pp) RPL35A","0.997",,,"0.995",,,"0.999","0.841"
"pp","RPL31 (pp) COX7C","false","pp","RPL31 (pp) COX7C","0.792",,,,,,"0.833","0.235"
"pp","HLA-DOB (pp) HLA-DPB1","false","pp","HLA-DOB (pp) HLA-DPB1","0.13",,"0.9",,,,"0.912","0.071"
"pp","TRIM10 (pp) HLA-DPB1","false","pp","TRIM10 (pp) HLA-DPB1",,,,,,,"0.43","0.43"
"pp","SELENBP1 (pp) CA1","false","pp","SELENBP1 (pp) CA1","0.558",,,,,,"0.694","0.338"
"pp","LRRN3 (pp) DOCK4","false","pp","LRRN3 (pp) DOCK4","0.062",,,"0.14",,,"0.67","0.624"
"pp","PRF1 (pp) TIGIT","false","pp","PRF1 (pp) TIGIT","0.142",,,,,,"0.571","0.522"
"pp","PRF1 (pp) CST7","false","pp","PRF1 (pp) CST7","0.55",,,,,,"0.615","0.181"
"pp","PRF1 (pp) KLRF1","false","pp","PRF1 (pp) KLRF1","0.252",,,,,,"0.613","0.504"
"pp","PRF1 (pp) LY6E","false","pp","PRF1 (pp) LY6E",,,,,,,"0.436","0.436"
"pp","PRF1 (pp) IDO1","false","pp","PRF1 (pp) IDO1",,,,,,,"0.508","0.508"
"pp","PRF1 (pp) TNFRSF9","false","pp","PRF1 (pp) TNFRSF9",,,,,,,"0.626","0.627"
"pp","C14orf2 (pp) COX7C","false","pp","C14orf2 (pp) COX7C","0.743",,,,,,"0.749","0.066"
"pp","ACTA2 (pp) SERPINE2","false","pp","ACTA2 (pp) SERPINE2",,,,,,,"0.403","0.404"
"pp","DOCK4 (pp) RPL35A","false","pp","DOCK4 (pp) RPL35A","0.751",,,"0.782",,,"0.947","0.111"
"pp","DOCK4 (pp) RAP1GAP","false","pp","DOCK4 (pp) RAP1GAP","0.062",,,,,,"0.432","0.42"
"pp","TMEM176B (pp) TMEM176A","false","pp","TMEM176B (pp) TMEM176A","0.966",,,"0.272",,,"0.979","0.252"
"pp","CSGALNACT1 (pp) SESN3","false","pp","CSGALNACT1 (pp) SESN3",,,,,,,"0.577","0.578"
"pp","TIGIT (pp) IDO1","false","pp","TIGIT (pp) IDO1",,,,,,,"0.601","0.601"
"pp","TIGIT (pp) TNFRSF9","false","pp","TIGIT (pp) TNFRSF9","0.063",,,,,,"0.635","0.627"
"pp","RPL35A (pp) COX7C","false","pp","RPL35A (pp) COX7C","0.777",,,,,,"0.776",
"pp","GYPB (pp) CA1","false","pp","GYPB (pp) CA1","0.722",,,,,,"0.737","0.096"
"pp","LY6E (pp) IDO1","false","pp","LY6E (pp) IDO1",,,,,,,"0.411","0.411"
"pp","IDO1 (pp) CYP1B1","false","pp","IDO1 (pp) CYP1B1",,,"0.9",,,,"0.927","0.3"
"pp","IDO1 (pp) TNFRSF9","false","pp","IDO1 (pp) TNFRSF9",,,,,,,"0.558","0.558"
"pp","SESN3 (pp) NPRL3","false","pp","SESN3 (pp) NPRL3","0.065",,,"0.27",,,"0.724","0.628"
"pp","ITGB3 (pp) CD24","false","pp","ITGB3 (pp) CD24",,,,,,,"0.562","0.562"
"pp","KANK2 (pp) NPRL3","false","pp","KANK2 (pp) NPRL3",,,,,,,"0.624","0.625"
