"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","CLEC4D (pp) VNN1","false","pp","CLEC4D (pp) VNN1","0.109",,,,,,"0.504","0.467"
"pp","CLEC4D (pp) SIGLEC1","false","pp","CLEC4D (pp) SIGLEC1","0.153",,,"0.062",,,"0.457","0.372"
"pp","CLEC4D (pp) CLEC12A","false","pp","CLEC4D (pp) CLEC12A","0.359",,,,,,"0.67","0.506"
"pp","NOD2 (pp) IL23R","false","pp","NOD2 (pp) IL23R",,,,,,,"0.785","0.785"
"pp","NOD2 (pp) CXCL10","false","pp","NOD2 (pp) CXCL10","0.152",,,,,,"0.518","0.456"
"pp","NOD2 (pp) CD8A","false","pp","NOD2 (pp) CD8A","0.102",,,,,,"0.55","0.52"
"pp","NOD2 (pp) IL1R1","false","pp","NOD2 (pp) IL1R1",,,,,,,"0.545","0.545"
"pp","NOD2 (pp) CXCL8","false","pp","NOD2 (pp) CXCL8","0.096",,,,,,"0.681","0.662"
"pp","UBXN6 (pp) GUK1","false","pp","UBXN6 (pp) GUK1","0.59",,,,,,"0.59",
"pp","LSM3 (pp) COX7C","false","pp","LSM3 (pp) COX7C","0.688",,,,,,"0.687",
"pp","LSM3 (pp) PRPF18","false","pp","LSM3 (pp) PRPF18","0.076",,"0.54","0.057",,,"0.665","0.263"
"pp","LSM3 (pp) RPL31","false","pp","LSM3 (pp) RPL31","0.406",,,,,,"0.523","0.23"
"pp","RNASE3 (pp) RNASE2","false","pp","RNASE3 (pp) RNASE2","0.954",,,,,,"0.955","0.069"
"pp","RNASE3 (pp) FCER1A","false","pp","RNASE3 (pp) FCER1A","0.214",,,,,,"0.579","0.487"
"pp","RNASE3 (pp) IL5RA","false","pp","RNASE3 (pp) IL5RA","0.053",,,,,,"0.462","0.456"
"pp","RNASE3 (pp) RNASET2","false","pp","RNASE3 (pp) RNASET2",,,,,,,"0.537","0.537"
"pp","RNASE3 (pp) CXCL8","false","pp","RNASE3 (pp) CXCL8","0.068",,,,,,"0.623","0.613"
"pp","BCL2L1 (pp) CD8A","false","pp","BCL2L1 (pp) CD8A",,,,,,,"0.609","0.609"
"pp","BCL2L1 (pp) JAK1","false","pp","BCL2L1 (pp) JAK1",,,,,,,"0.574","0.575"
"pp","BCL2L1 (pp) MKI67","false","pp","BCL2L1 (pp) MKI67",,,,,,,"0.469","0.47"
"pp","BCL2L1 (pp) CD274","false","pp","BCL2L1 (pp) CD274","0.062",,,,,,"0.469","0.458"
"pp","BCL2L1 (pp) TNFRSF9","false","pp","BCL2L1 (pp) TNFRSF9",,,,,,,"0.471","0.471"
"pp","BCL2L1 (pp) CXCL8","false","pp","BCL2L1 (pp) CXCL8",,,,,,,"0.53","0.53"
"pp","BCL2L1 (pp) DNM3","false","pp","BCL2L1 (pp) DNM3","0.062",,,"0.197",,,"0.484","0.371"
"pp","BCL2L1 (pp) CLU","false","pp","BCL2L1 (pp) CLU",,,,"0.702",,,"0.972","0.909"
"pp","BCL2L1 (pp) CTSW","false","pp","BCL2L1 (pp) CTSW","0.049",,"0.6",,,,"0.604","0.043"
"pp","BCL2L1 (pp) MMP9","false","pp","BCL2L1 (pp) MMP9",,,,,,,"0.658","0.658"
"pp","RNASE2 (pp) RNASET2","false","pp","RNASE2 (pp) RNASET2","0.076",,,,,,"0.655","0.642"
"pp","RNASE2 (pp) CXCL8","false","pp","RNASE2 (pp) CXCL8","0.088",,,,,,"0.437","0.408"
"pp","RNASE2 (pp) IL5RA","false","pp","RNASE2 (pp) IL5RA","0.053",,,,,,"0.427","0.42"
"pp","RNASE2 (pp) CST7","false","pp","RNASE2 (pp) CST7","0.332",,,,,,"0.443","0.201"
"pp","RNASE2 (pp) FCER1A","false","pp","RNASE2 (pp) FCER1A","0.339",,,,,,"0.735","0.617"
"pp","CXCL10 (pp) ISG15","false","pp","CXCL10 (pp) ISG15","0.394",,,,,,"0.811","0.701"
"pp","CXCL10 (pp) XCL1","false","pp","CXCL10 (pp) XCL1","0.085",,,"0.237",,,"0.749","0.67"
"pp","CXCL10 (pp) TNFRSF9","false","pp","CXCL10 (pp) TNFRSF9","0.062",,,,,,"0.425","0.413"
"pp","CXCL10 (pp) EPSTI1","false","pp","CXCL10 (pp) EPSTI1","0.366",,,,,,"0.458","0.18"
"pp","CXCL10 (pp) IFIT3","false","pp","CXCL10 (pp) IFIT3","0.703",,,,,,"0.88","0.616"
"pp","CXCL10 (pp) RSAD2","false","pp","CXCL10 (pp) RSAD2","0.606",,,,,,"0.843","0.619"
"pp","CXCL10 (pp) IFIT1","false","pp","CXCL10 (pp) IFIT1","0.393",,,,,,"0.819","0.714"
"pp","CXCL10 (pp) JAK1","false","pp","CXCL10 (pp) JAK1","0.049",,,,,,"0.505","0.501"
"pp","CXCL10 (pp) IFI44","false","pp","CXCL10 (pp) IFI44","0.346",,,,,,"0.671","0.519"
"pp","CXCL10 (pp) CD274","false","pp","CXCL10 (pp) CD274","0.322",,,,,,"0.745","0.64"
"pp","CXCL10 (pp) ARG1","false","pp","CXCL10 (pp) ARG1",,,,,,,"0.563","0.563"
"pp","CXCL10 (pp) PRF1","false","pp","CXCL10 (pp) PRF1","0.076",,,,,,"0.617","0.603"
"pp","CXCL10 (pp) IFI44L","false","pp","CXCL10 (pp) IFI44L","0.534",,,,,,"0.74","0.466"
"pp","CXCL10 (pp) IFI6","false","pp","CXCL10 (pp) IFI6","0.22",,,,,,"0.529","0.422"
"pp","CXCL10 (pp) IDO1","false","pp","CXCL10 (pp) IDO1","0.412",,,,,,"0.73","0.561"
"pp","CXCL10 (pp) MMP9","false","pp","CXCL10 (pp) MMP9","0.14",,,,,,"0.651","0.611"
"pp","CXCL10 (pp) SPP1","false","pp","CXCL10 (pp) SPP1","0.062",,,,,,"0.469","0.458"
"pp","CXCL10 (pp) PARP14","false","pp","CXCL10 (pp) PARP14","0.388",,,,,,"0.479","0.185"
"pp","CXCL10 (pp) CD8A","false","pp","CXCL10 (pp) CD8A","0.071",,,,,,"0.81","0.804"
"pp","CXCL10 (pp) SIGLEC1","false","pp","CXCL10 (pp) SIGLEC1","0.222",,,,,,"0.505","0.39"
"pp","CXCL10 (pp) CXCL8","false","pp","CXCL10 (pp) CXCL8","0.145",,"0.6",,,,"0.955","0.879"
"pp","CXCL10 (pp) LCN2","false","pp","CXCL10 (pp) LCN2","0.085",,,,,,"0.527","0.504"
"pp","CXCL10 (pp) MX1","false","pp","CXCL10 (pp) MX1","0.417",,,,,,"0.819","0.704"
"pp","CXCL10 (pp) IL1R1","false","pp","CXCL10 (pp) IL1R1","0.069",,,,,,"0.693","0.683"
"pp","CXCL8 (pp) XCL1","false","pp","CXCL8 (pp) XCL1","0.062",,,,,,"0.541","0.532"
"pp","CXCL8 (pp) ISG15","false","pp","CXCL8 (pp) ISG15",,,,,,,"0.471","0.472"
"pp","CXCL8 (pp) TNFRSF9","false","pp","CXCL8 (pp) TNFRSF9","0.062",,,,,,"0.404","0.391"
"pp","CXCL8 (pp) IL1RAP","false","pp","CXCL8 (pp) IL1RAP","0.069",,,,,,"0.411","0.394"
"pp","CXCL8 (pp) OLR1","false","pp","CXCL8 (pp) OLR1","0.089",,,,,,"0.443","0.414"
"pp","CXCL8 (pp) ACKR1","false","pp","CXCL8 (pp) ACKR1",,,"0.8","0.462",,,"0.998","0.987"
"pp","CXCL8 (pp) IFIT1","false","pp","CXCL8 (pp) IFIT1",,,,,,,"0.457","0.457"
"pp","CXCL8 (pp) JAK1","false","pp","CXCL8 (pp) JAK1",,,,,,,"0.47","0.47"
"pp","CXCL8 (pp) RSAD2","false","pp","CXCL8 (pp) RSAD2","0.089",,,,,,"0.405","0.374"
"pp","CXCL8 (pp) LPAR1","false","pp","CXCL8 (pp) LPAR1",,,"0.9",,,,"0.933","0.362"
"pp","CXCL8 (pp) HP","false","pp","CXCL8 (pp) HP",,,,,,,"0.571","0.571"
"pp","CXCL8 (pp) CD274","false","pp","CXCL8 (pp) CD274","0.162",,,,,,"0.617","0.562"
"pp","CXCL8 (pp) IL23R","false","pp","CXCL8 (pp) IL23R","0.062",,,,,,"0.417","0.404"
"pp","CXCL8 (pp) ARG1","false","pp","CXCL8 (pp) ARG1",,,,,,,"0.556","0.556"
"pp","CXCL8 (pp) PRF1","false","pp","CXCL8 (pp) PRF1",,,,,,,"0.561","0.561"
"pp","CXCL8 (pp) IDO1","false","pp","CXCL8 (pp) IDO1","0.084",,,,,,"0.525","0.503"
"pp","CXCL8 (pp) SPP1","false","pp","CXCL8 (pp) SPP1","0.083",,,,,,"0.622","0.605"
"pp","CXCL8 (pp) MMP9","false","pp","CXCL8 (pp) MMP9","0.135",,,"0.213",,,"0.871","0.826"
"pp","CXCL8 (pp) SERPINB2","false","pp","CXCL8 (pp) SERPINB2","0.343",,,,,,"0.584","0.394"
"pp","CXCL8 (pp) CD8A","false","pp","CXCL8 (pp) CD8A",,,,,,,"0.768","0.768"
"pp","CXCL8 (pp) LCN2","false","pp","CXCL8 (pp) LCN2","0.108",,,,,,"0.631","0.604"
"pp","CXCL8 (pp) MX1","false","pp","CXCL8 (pp) MX1","0.062",,,,,,"0.539","0.53"
"pp","CXCL8 (pp) IL1R1","false","pp","CXCL8 (pp) IL1R1","0.088",,,,,,"0.75","0.737"
"pp","AHSP (pp) GYPA","false","pp","AHSP (pp) GYPA","0.189",,,,,,"0.485","0.392"
"pp","AHSP (pp) HEMGN","false","pp","AHSP (pp) HEMGN","0.207",,,,,,"0.409","0.285"
"pp","AHSP (pp) FECH","false","pp","AHSP (pp) FECH","0.182",,,,,,"0.489","0.401"
"pp","AHSP (pp) BPGM","false","pp","AHSP (pp) BPGM","0.113",,,,,,"0.516","0.478"
"pp","AHSP (pp) SELENBP1","false","pp","AHSP (pp) SELENBP1","0.556",,,,,,"0.679","0.307"
"pp","AHSP (pp) GYPB","false","pp","AHSP (pp) GYPB","0.753",,,,,,"0.811","0.267"
"pp","AHSP (pp) CA1","false","pp","AHSP (pp) CA1","0.774",,,,,,"0.84","0.323"
"pp","AHSP (pp) MYL4","false","pp","AHSP (pp) MYL4","0.554",,,,,,"0.619","0.182"
"pp","P2RY12 (pp) CST7","false","pp","P2RY12 (pp) CST7",,,,,,,"0.4","0.4"
"pp","P2RY12 (pp) ITGB3","false","pp","P2RY12 (pp) ITGB3","0.062",,,,,,"0.529","0.519"
"pp","P2RY12 (pp) PROS1","false","pp","P2RY12 (pp) PROS1",,,,,,,"0.524","0.525"
"pp","OLR1 (pp) ABCG1","false","pp","OLR1 (pp) ABCG1","0.062",,,,,,"0.61","0.602"
"pp","OLR1 (pp) MMP9","false","pp","OLR1 (pp) MMP9",,,,,,,"0.455","0.455"
"pp","OLR1 (pp) ALOX15","false","pp","OLR1 (pp) ALOX15",,,,,,,"0.529","0.529"
"pp","KLRC4 (pp) IL23R","false","pp","KLRC4 (pp) IL23R",,,,,,,"0.505","0.505"
"pp","KLRC4 (pp) KLRD1","false","pp","KLRC4 (pp) KLRD1","0.062",,"0.9",,,,"0.928","0.303"
"pp","KLRC4 (pp) KLRF1","false","pp","KLRC4 (pp) KLRF1","0.118",,,,,,"0.464","0.418"
"pp","KLRC4 (pp) KIR2DL3","false","pp","KLRC4 (pp) KIR2DL3","0.089",,"0.8",,,,"0.87","0.346"
"pp","CTSW (pp) PRF1","false","pp","CTSW (pp) PRF1","0.564",,,,,,"0.657","0.246"
"pp","CTSW (pp) KLRF1","false","pp","CTSW (pp) KLRF1","0.137",,,,,,"0.41","0.345"
"pp","CTSW (pp) CD8A","false","pp","CTSW (pp) CD8A","0.202",,,,,,"0.433","0.319"
"pp","CTSW (pp) CST7","false","pp","CTSW (pp) CST7","0.263",,,"0.056",,,"0.502","0.342"
"pp","GSTM1 (pp) SPP1","false","pp","GSTM1 (pp) SPP1",,,,,,,"0.932","0.932"
"pp","GSTM1 (pp) CYP1B1","false","pp","GSTM1 (pp) CYP1B1","0.053",,"0.65","0.057",,,"0.886","0.681"
"pp","SAMD12 (pp) LRRN3","false","pp","SAMD12 (pp) LRRN3","0.062",,,,,,"0.453","0.441"
"pp","IL1RAP (pp) IL1R1","false","pp","IL1RAP (pp) IL1R1","0.062",,"0.9","0.976",,,"0.998","0.386"
"pp","CLU (pp) HP","false","pp","CLU (pp) HP",,,"0.72","0.15",,,"0.904","0.631"
"pp","CLU (pp) SPP1","false","pp","CLU (pp) SPP1","0.076",,,,,,"0.583","0.568"
"pp","CLU (pp) MMP9","false","pp","CLU (pp) MMP9",,,,"0.27",,,"0.654","0.545"
"pp","CLU (pp) C4BPA","false","pp","CLU (pp) C4BPA","0.063",,,,,,"0.422","0.409"
"pp","CLU (pp) LCN2","false","pp","CLU (pp) LCN2","0.062",,,,,,"0.648","0.641"
"pp","CLU (pp) MS4A4A","false","pp","CLU (pp) MS4A4A",,,,,,,"0.61","0.61"
"pp","CLK4 (pp) PRPF18","false","pp","CLK4 (pp) PRPF18","0.062",,,"0.14",,,"0.422","0.341"
"pp","EPSTI1 (pp) MX1","false","pp","EPSTI1 (pp) MX1","0.336",,,,,,"0.632","0.469"
"pp","EPSTI1 (pp) IFI44","false","pp","EPSTI1 (pp) IFI44","0.362",,,,,,"0.68","0.519"
"pp","EPSTI1 (pp) IFIT1","false","pp","EPSTI1 (pp) IFIT1","0.269",,,,,,"0.548","0.408"
"pp","EPSTI1 (pp) RSAD2","false","pp","EPSTI1 (pp) RSAD2","0.352",,,,,,"0.673","0.517"
"pp","EPSTI1 (pp) IFIT3","false","pp","EPSTI1 (pp) IFIT3","0.3",,,,,,"0.563","0.402"
"pp","EPSTI1 (pp) IFI6","false","pp","EPSTI1 (pp) IFI6","0.164",,,,,,"0.471","0.394"
"pp","EPSTI1 (pp) IFI44L","false","pp","EPSTI1 (pp) IFI44L","0.394",,,,,,"0.747","0.601"
"pp","EPSTI1 (pp) LY6E","false","pp","EPSTI1 (pp) LY6E","0.062",,,,,,"0.514","0.504"
"pp","EPSTI1 (pp) ISG15","false","pp","EPSTI1 (pp) ISG15","0.274",,,,,,"0.584","0.451"
"pp","FAXDC2 (pp) SLC14A1","false","pp","FAXDC2 (pp) SLC14A1","0.061",,,,,,"0.528","0.518"
"pp","FAXDC2 (pp) DHRS12","false","pp","FAXDC2 (pp) DHRS12","0.062",,,"0.056",,,"0.713","0.703"
"pp","IL23R (pp) FCER1A","false","pp","IL23R (pp) FCER1A",,,,,,,"0.493","0.493"
"pp","IL23R (pp) CD8A","false","pp","IL23R (pp) CD8A",,,,,,,"0.566","0.566"
"pp","IL23R (pp) JAK1","false","pp","IL23R (pp) JAK1",,,"0.6",,,,"0.745","0.391"
"pp","IL23R (pp) IL1R1","false","pp","IL23R (pp) IL1R1",,,,,,,"0.616","0.616"
"pp","FBXL13 (pp) AK5","false","pp","FBXL13 (pp) AK5","0.063",,,,,,"0.668","0.66"
"pp","EBF1 (pp) PBX1","false","pp","EBF1 (pp) PBX1",,,,,,,"0.535","0.535"
"pp","EBF1 (pp) TMTC1","false","pp","EBF1 (pp) TMTC1","0.063",,,,,,"0.505","0.494"
"pp","ITLN1 (pp) LCN2","false","pp","ITLN1 (pp) LCN2","0.087",,,,,,"0.481","0.455"
"pp","ITLN1 (pp) CFD","false","pp","ITLN1 (pp) CFD","0.068",,,,,,"0.517","0.504"
"pp","APOBEC3B (pp) MKI67","false","pp","APOBEC3B (pp) MKI67","0.153",,,"0.27",,,"0.404","0.115"
"pp","APOBEC3B (pp) CDA","false","pp","APOBEC3B (pp) CDA","0.089",,,,,,"0.756","0.743"
"pp","APOBEC3B (pp) COX7C","false","pp","APOBEC3B (pp) COX7C","0.168",,,"0.368",,,"0.575","0.258"
"pp","CD8B (pp) CD274","false","pp","CD8B (pp) CD274",,,,,,,"0.414","0.414"
"pp","CD8B (pp) CD8A","false","pp","CD8B (pp) CD8A","0.474",,"0.9","0.851",,,"0.997","0.732"
"pp","CD8B (pp) PRF1","false","pp","CD8B (pp) PRF1","0.151",,,,,,"0.442","0.371"
"pp","HOXB2 (pp) PBX1","false","pp","HOXB2 (pp) PBX1",,,,"0.256",,,"0.614","0.503"
"pp","CFD (pp) SPP1","false","pp","CFD (pp) SPP1",,,,"0.056",,,"0.409","0.401"
"pp","CFD (pp) C4BPA","false","pp","CFD (pp) C4BPA",,,,,,,"0.445","0.445"
"pp","CFD (pp) LCN2","false","pp","CFD (pp) LCN2","0.062",,,,,,"0.404","0.391"
"pp","C2CD3 (pp) AHI1","false","pp","C2CD3 (pp) AHI1",,,,,,,"0.468","0.468"
